px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
11.3512	-2.17225	-2.66929	-1.80769	0.48932	11.2202	-2.08176	11.25	-2.1	1.8219	2.73284	24.2385
11.3791	-2.01577	-2.68634	-1.77507	0.493929	11.3536	-1.97104	11.35	-1.95	1.82188	2.73281	6.90261e-310
11.3707	-1.8566	-2.68689	-1.70497	0.555882	11.224	-1.77367	11.35	-1.8	0	2.71996	2.4613
11.385	-1.69397	-2.70826	-1.66936	0.559709	11.3661	-1.64386	11.35	-1.65	0	2.71993	6.90261e-310
11.3821	-1.53975	-2.71292	-1.62244	0.582093	11.2691	-1.47976	11.35	-1.5	0	2.73448	0.428452
11.3797	-1.38045	-2.72606	-1.58451	0.587073	11.3391	-1.34511	11.35	-1.35	0	2.73446	6.90261e-310
11.2682	-1.21334	-2.76699	-1.41392	0.802223	11.2507	-1.19626	11.25	-1.2	-1.99969	2.99952	28.8966
11.2293	-1.0698	-2.77476	-1.36486	0.80987	11.1532	-1.04324	11.15	-1.05	-1.99967	2.99949	6.90261e-310
11.1621	-0.922292	-2.80746	-1.28412	0.868452	10.9697	-0.89157	11.1	-0.9	-1.00006	3.00024	2.50413
11.1112	-0.778576	-2.82209	-1.23568	0.872228	11.0654	-0.742685	11.05	-0.75	-1.00006	3.00021	6.90261e-310
11.007	-0.621236	-2.88025	-1.13023	0.9589	10.8913	-0.655608	10.95	-0.649999	-1.81771	1.81773	5.31621
10.9202	-0.496269	-2.85648	-1.06729	0.969391	10.8418	-0.549005	10.85	-0.549999	-1.81772	1.81773	6.90261e-310
10.8289	-0.362143	-2.87074	-0.999793	0.991325	10.827	-0.442912	10.75	-0.45	-1.81842	1.8184	0.424253
10.7269	-0.260354	-2.83165	-0.932892	1.00519	10.6642	-0.353413	10.65	-0.35	-1.8184	1.81839	6.90261e-310
10.558	-0.136794	-2.9904	-0.79386	1.14304	10.5503	-0.248633	10.5	-0.25	-3.00035	2.00024	18.4697
10.433	-0.065813	-2.95141	-0.718718	1.1625	10.3487	-0.171899	10.35	-0.15	-3.00032	2.00022	6.90261e-310
10.3281	0.0157437	-2.90777	-0.667395	1.14944	10.2559	-0.115293	10.25	-0.0999996	-2.00053	1.00027	0.73391
10.1983	0.0676963	-2.86984	-0.590767	1.17061	10.137	-0.0462889	10.15	-0.0499992	-2.00053	1.00027	6.90261e-310
10.0985	0.129567	-2.78958	-0.546593	1.14528	10.0717	0.0165033	10.05	9.49949e-07	-2.00009	1.00004	2.10855
9.96833	0.165283	-2.75659	-0.470169	1.16649	9.92833	0.0556031	9.95	0.0500011	-2.00006	1.00003	6.90261e-310
9.82369	0.217987	-2.81401	-0.39262	1.19592	9.8478	0.0279858	9.8	0.0500011	-3.00025	0	2.21276
9.68337	0.214052	-2.76568	-0.300731	1.23146	9.65029	0.0372757	9.65	0.0500011	-3.00024	0	6.90261e-310
9.53639	0.247058	-2.81168	-0.228449	1.24751	9.54682	0.0997641	9.5	0.100001	-2.99825	0.999409	1.19531
9.38803	0.242052	-2.79496	-0.142651	1.27219	9.33515	0.138463	9.35	0.15	-2.99825	0.999409	6.90261e-310
9.28132	0.224733	-2.60883	-0.0682248	1.27049	9.46113	0.134275	9.25	0.15	-1.81915	0	8.49342
9.13763	0.213238	-2.59958	0.0127114	1.28248	9.13787	0.161547	9.15	0.15	-1.81913	0	6.90261e-310
8.99036	0.22192	-2.68374	0.0692678	1.27601	9.02723	0.196492	9	0.2	-2.99927	0.99976	1.9928
8.85246	0.218126	-2.69341	0.127129	1.26912	8.82128	0.250523	8.85	0.25	-2.99927	0.99976	6.90261e-310
8.70359	0.214057	-2.76131	0.177465	1.2548	8.67607	0.247512	8.7	0.25	-2.99873	0	1.30775
8.56651	0.199985	-2.76655	0.229793	1.24363	8.54916	0.247046	8.55	0.25	-2.99871	0	6.90261e-310
8.42387	0.166385	-2.75408	0.294319	1.24013	8.44086	0.253341	8.4	0.25	-2.72872	0	0.172803
8.27441	0.151857	-2.7599	0.337043	1.21339	8.2302	0.258614	8.25	0.25	-2.72871	0	6.90261e-310
8.12717	0.129873	-2.82376	0.369966	1.18078	8.1066	0.204722	8.1	0.2	-2.99909	-0.9997	1.72994
7.99059	0.0876378	-2.8292	0.41936	1.17043	7.94777	0.127954	7.95	0.15	-2.9991	-0.9997	6.90261e-310
7.83909	0.063159	-2.90032	0.438215	1.1226	7.82213	0.149733	7.8	0.15	-3.00101	0	2.86951
7.69952	0.0345235	-2.89696	0.466915	1.09445	7.63383	0.15164	7.65	0.15	-3.00099	0	6.90261e-310
